,24,36,48,60,72
6-4-22,6-4-22,6-4-22,6-4-22,6-4-22,6-4-22
6-4-24,6-4-24,6-4-24,6-4-24,6-4-24,6-4-24
6-5-6,6-5-6,6-5-6,6-5-6,6-5-6,6-5-6
6-5-8,6-5-8,6-5-8,6-5-8,6-5-8,6-5-8
6-5-10,6-5-10,6-5-10,6-5-10,6-5-10,6-5-10
6-5-12,6-5-12,6-5-12,6-5-12,6-5-12,6-5-12
6-5-14,6-5-14,6-5-14,6-5-14,6-5-14,6-5-14
6-5-16,6-5-16,6-5-16,6-5-16,6-5-16,6-5-16
6-5-18,6-5-18,6-5-18,6-5-18,6-5-18,6-5-18
6-5-20,6-5-20,6-5-20,6-5-20,6-5-20,6-5-20
6-5-22,6-5-22,6-5-22,6-5-22,6-5-22,6-5-22
6-5-24,6-5-24,6-5-24,6-5-24,6-5-24,6-5-24
6-6-6,6-6-6,6-6-6,6-6-6,6-6-6,6-6-6
6-6-8,6-6-8,6-6-8,6-6-8,6-6-8,6-6-8
6-6-10,6-6-10,6-6-10,6-6-10,6-6-10,6-6-10
6-6-12,6-6-12,6-6-12,6-6-12,6-6-12,6-6-12
6-6-14,6-6-14,6-6-14,6-6-14,6-6-14,6-6-14
6-6-16,6-6-16,6-6-16,6-6-16,6-6-16,6-6-16
6-6-18,6-6-18,6-6-18,6-6-18,6-6-18,6-6-18
6-6-20,6-6-20,6-6-20,6-6-20,6-6-20,6-6-20
6-6-22,6-6-22,6-6-22,6-6-22,6-6-22,6-6-22
6-6-24,6-6-24,6-6-24,6-6-24,6-6-24,6-6-24
6-7-6,6-7-6,6-7-6,6-7-6,6-7-6,6-7-6
6-7-8,6-7-8,6-7-8,6-7-8,6-7-8,6-7-8
6-7-10,6-7-10,6-7-10,6-7-10,6-7-10,6-7-10
6-7-12,6-7-12,6-7-12,6-7-12,6-7-12,6-7-12
6-7-14,6-7-14,6-7-14,6-7-14,6-7-14,6-7-14
6-7-16,6-7-16,6-7-16,6-7-16,6-7-16,6-7-16
6-7-18,6-7-18,6-7-18,6-7-18,6-7-18,6-7-18
6-7-20,6-7-20,6-7-20,6-7-20,6-7-20,6-7-20
6-7-22,6-7-22,6-7-22,6-7-22,6-7-22,6-7-22
6-7-24,6-7-24,6-7-24,6-7-24,6-7-24,6-7-24
6-8-6,6-8-6,6-8-6,6-8-6,6-8-6,6-8-6
6-8-8,6-8-8,6-8-8,6-8-8,6-8-8,6-8-8
6-8-10,6-8-10,6-8-10,6-8-10,6-8-10,6-8-10
6-8-12,6-8-12,6-8-12,6-8-12,6-8-12,6-8-12
6-8-14,6-8-14,6-8-14,6-8-14,6-8-14,6-8-14
6-8-16,6-8-16,6-8-16,6-8-16,6-8-16,6-8-16
6-8-18,6-8-18,6-8-18,6-8-18,6-8-18,6-8-18
6-8-20,6-8-20,6-8-20,6-8-20,6-8-20,6-8-20
6-8-22,6-8-22,6-8-22,6-8-22,6-8-22,6-8-22
6-8-24,6-8-24,6-8-24,6-8-24,6-8-24,6-8-24
6-9-6,6-9-6,6-9-6,6-9-6,6-9-6,6-9-6
6-9-8,6-9-8,6-9-8,6-9-8,6-9-8,6-9-8
6-9-10,6-9-10,6-9-10,6-9-10,6-9-10,6-9-10
6-9-12,6-9-12,6-9-12,6-9-12,6-9-12,6-9-12
6-9-14,6-9-14,6-9-14,6-9-14,6-9-14,6-9-14
6-9-16,6-9-16,6-9-16,6-9-16,6-9-16,6-9-16
6-9-18,6-9-18,6-9-18,6-9-18,6-9-18,6-9-18
6-9-20,6-9-20,6-9-20,6-9-20,6-9-20,6-9-20
6-9-22,6-9-22,6-9-22,6-9-22,6-9-22,6-9-22
6-9-24,6-9-24,6-9-24,6-9-24,6-9-24,6-9-24
6-10-6,6-10-6,6-10-6,6-10-6,6-10-6,6-10-6
6-10-8,6-10-8,6-10-8,6-10-8,6-10-8,6-10-8
6-10-10,6-10-10,6-10-10,6-10-10,6-10-10,6-10-10
6-10-12,6-10-12,6-10-12,6-10-12,6-10-12,6-10-12
6-10-14,6-10-14,6-10-14,6-10-14,6-10-14,6-10-14
6-10-16,6-10-16,6-10-16,6-10-16,6-10-16,6-10-16
6-10-18,6-10-18,6-10-18,6-10-18,6-10-18,6-10-18
6-10-20,6-10-20,6-10-20,6-10-20,6-10-20,6-10-20
6-10-22,6-10-22,6-10-22,6-10-22,6-10-22,6-10-22
6-10-24,6-10-24,6-10-24,6-10-24,6-10-24,6-10-24
7-2-6,7-2-6,7-2-6,7-2-6,7-2-6,7-2-6
7-2-8,7-2-8,7-2-8,7-2-8,7-2-8,7-2-8
7-2-10,7-2-10,7-2-10,7-2-10,7-2-10,7-2-10
7-2-12,7-2-12,7-2-12,7-2-12,7-2-12,7-2-12
7-2-14,7-2-14,7-2-14,7-2-14,7-2-14,7-2-14
7-2-16,7-2-16,7-2-16,7-2-16,7-2-16,7-2-16
7-2-18,7-2-18,7-2-18,7-2-18,7-2-18,7-2-18
7-2-20,7-2-20,7-2-20,7-2-20,7-2-20,7-2-20
7-2-22,7-2-22,7-2-22,7-2-22,7-2-22,7-2-22
7-2-24,7-2-24,7-2-24,7-2-24,7-2-24,7-2-24
7-3-6,7-3-6,7-3-6,7-3-6,7-3-6,7-3-6
7-3-8,7-3-8,7-3-8,7-3-8,7-3-8,7-3-8
7-3-10,7-3-10,7-3-10,7-3-10,7-3-10,7-3-10
7-3-12,7-3-12,7-3-12,7-3-12,7-3-12,7-3-12
7-3-14,7-3-14,7-3-14,7-3-14,7-3-14,7-3-14
7-3-16,7-3-16,7-3-16,7-3-16,7-3-16,7-3-16
7-3-18,7-3-18,7-3-18,7-3-18,7-3-18,7-3-18
7-3-20,7-3-20,7-3-20,7-3-20,7-3-20,7-3-20
7-3-22,7-3-22,7-3-22,7-3-22,7-3-22,7-3-22
7-3-24,7-3-24,7-3-24,7-3-24,7-3-24,7-3-24
7-4-6,7-4-6,7-4-6,7-4-6,7-4-6,7-4-6
7-4-8,7-4-8,7-4-8,7-4-8,7-4-8,7-4-8
7-4-10,7-4-10,7-4-10,7-4-10,7-4-10,7-4-10
7-4-12,7-4-12,7-4-12,7-4-12,7-4-12,7-4-12
7-4-14,7-4-14,7-4-14,7-4-14,7-4-14,7-4-14
7-4-16,7-4-16,7-4-16,7-4-16,7-4-16,7-4-16
7-4-18,7-4-18,7-4-18,7-4-18,7-4-18,7-4-18
7-4-20,7-4-20,7-4-20,7-4-20,7-4-20,7-4-20
7-4-22,7-4-22,7-4-22,7-4-22,7-4-22,7-4-22
7-4-24,7-4-24,7-4-24,7-4-24,7-4-24,7-4-24
7-5-6,7-5-6,7-5-6,7-5-6,7-5-6,7-5-6
7-5-8,7-5-8,7-5-8,7-5-8,7-5-8,7-5-8
7-5-10,7-5-10,7-5-10,7-5-10,7-5-10,7-5-10
7-5-12,7-5-12,7-5-12,7-5-12,7-5-12,7-5-12
7-5-14,7-5-14,7-5-14,7-5-14,7-5-14,7-5-14
7-5-16,7-5-16,7-5-16,7-5-16,7-5-16,7-5-16
7-5-18,7-5-18,7-5-18,7-5-18,7-5-18,7-5-18
7-5-20,7-5-20,7-5-20,7-5-20,7-5-20,7-5-20
7-5-22,7-5-22,7-5-22,7-5-22,7-5-22,7-5-22
7-5-24,7-5-24,7-5-24,7-5-24,7-5-24,7-5-24
7-6-6,7-6-6,7-6-6,7-6-6,7-6-6,7-6-6
7-6-8,7-6-8,7-6-8,7-6-8,7-6-8,7-6-8
7-6-10,7-6-10,7-6-10,7-6-10,7-6-10,7-6-10
7-6-12,7-6-12,7-6-12,7-6-12,7-6-12,7-6-12
7-6-14,7-6-14,7-6-14,7-6-14,7-6-14,7-6-14
7-6-16,7-6-16,7-6-16,7-6-16,7-6-16,7-6-16
7-6-18,7-6-18,7-6-18,7-6-18,7-6-18,7-6-18
7-6-20,7-6-20,7-6-20,7-6-20,7-6-20,7-6-20
7-6-22,7-6-22,7-6-22,7-6-22,7-6-22,7-6-22
7-6-24,7-6-24,7-6-24,7-6-24,7-6-24,7-6-24
7-7-6,7-7-6,7-7-6,7-7-6,7-7-6,7-7-6
7-7-8,7-7-8,7-7-8,7-7-8,7-7-8,7-7-8
7-7-10,7-7-10,7-7-10,7-7-10,7-7-10,7-7-10
7-7-12,7-7-12,7-7-12,7-7-12,7-7-12,7-7-12
7-7-14,7-7-14,7-7-14,7-7-14,7-7-14,7-7-14
7-7-16,7-7-16,7-7-16,7-7-16,7-7-16,7-7-16
7-7-18,7-7-18,7-7-18,7-7-18,7-7-18,7-7-18
7-7-20,7-7-20,7-7-20,7-7-20,7-7-20,7-7-20
7-7-22,7-7-22,7-7-22,7-7-22,7-7-22,7-7-22
7-7-24,7-7-24,7-7-24,7-7-24,7-7-24,7-7-24
7-8-6,7-8-6,7-8-6,7-8-6,7-8-6,7-8-6
7-8-8,7-8-8,7-8-8,7-8-8,7-8-8,7-8-8
7-8-10,7-8-10,7-8-10,7-8-10,7-8-10,7-8-10
7-8-12,7-8-12,7-8-12,7-8-12,7-8-12,7-8-12
7-8-14,7-8-14,7-8-14,7-8-14,7-8-14,7-8-14
7-8-16,7-8-16,7-8-16,7-8-16,7-8-16,7-8-16
7-8-18,7-8-18,7-8-18,7-8-18,7-8-18,7-8-18
7-8-20,7-8-20,7-8-20,7-8-20,7-8-20,7-8-20
7-8-22,7-8-22,7-8-22,7-8-22,7-8-22,7-8-22
7-8-24,7-8-24,7-8-24,7-8-24,7-8-24,7-8-24
7-9-6,7-9-6,7-9-6,7-9-6,7-9-6,7-9-6
7-9-8,7-9-8,7-9-8,7-9-8,7-9-8,7-9-8
7-9-10,7-9-10,7-9-10,7-9-10,7-9-10,7-9-10
7-9-12,7-9-12,7-9-12,7-9-12,7-9-12,7-9-12
7-9-14,7-9-14,7-9-14,7-9-14,7-9-14,7-9-14
7-9-16,7-9-16,7-9-16,7-9-16,7-9-16,7-9-16
7-9-18,7-9-18,7-9-18,7-9-18,7-9-18,7-9-18
7-9-20,7-9-20,7-9-20,7-9-20,7-9-20,7-9-20
7-9-22,7-9-22,7-9-22,7-9-22,7-9-22,7-9-22
7-9-24,7-9-24,7-9-24,7-9-24,7-9-24,7-9-24
7-10-6,7-10-6,7-10-6,7-10-6,7-10-6,7-10-6
7-10-8,7-10-8,7-10-8,7-10-8,7-10-8,7-10-8
7-10-10,7-10-10,7-10-10,7-10-10,7-10-10,7-10-10
7-10-12,7-10-12,7-10-12,7-10-12,7-10-12,7-10-12
7-10-14,7-10-14,7-10-14,7-10-14,7-10-14,7-10-14
7-10-16,7-10-16,7-10-16,7-10-16,7-10-16,7-10-16
7-10-18,7-10-18,7-10-18,7-10-18,7-10-18,7-10-18
7-10-20,7-10-20,7-10-20,7-10-20,7-10-20,7-10-20
7-10-22,7-10-22,7-10-22,7-10-22,7-10-22,7-10-22
7-10-24,7-10-24,7-10-24,7-10-24,7-10-24,7-10-24
8-2-6,8-2-6,8-2-6,8-2-6,8-2-6,8-2-6
8-2-8,8-2-8,8-2-8,8-2-8,8-2-8,8-2-8
8-2-10,8-2-10,8-2-10,8-2-10,8-2-10,8-2-10
8-2-12,8-2-12,8-2-12,8-2-12,8-2-12,8-2-12
8-2-14,8-2-14,8-2-14,8-2-14,8-2-14,8-2-14
8-2-16,8-2-16,8-2-16,8-2-16,8-2-16,8-2-16
8-2-18,8-2-18,8-2-18,8-2-18,8-2-18,8-2-18
8-2-20,8-2-20,8-2-20,8-2-20,8-2-20,8-2-20
8-2-22,8-2-22,8-2-22,8-2-22,8-2-22,8-2-22
8-2-24,8-2-24,8-2-24,8-2-24,8-2-24,8-2-24
8-3-6,8-3-6,8-3-6,8-3-6,8-3-6,8-3-6
8-3-8,8-3-8,8-3-8,8-3-8,8-3-8,8-3-8
8-3-10,8-3-10,8-3-10,8-3-10,8-3-10,8-3-10
8-3-12,8-3-12,8-3-12,8-3-12,8-3-12,8-3-12
8-3-14,8-3-14,8-3-14,8-3-14,8-3-14,8-3-14
8-3-16,8-3-16,8-3-16,8-3-16,8-3-16,8-3-16
8-3-18,8-3-18,8-3-18,8-3-18,8-3-18,8-3-18
8-3-20,8-3-20,8-3-20,8-3-20,8-3-20,8-3-20
8-3-22,8-3-22,8-3-22,8-3-22,8-3-22,8-3-22
8-3-24,8-3-24,8-3-24,8-3-24,8-3-24,8-3-24
8-4-6,8-4-6,8-4-6,8-4-6,8-4-6,8-4-6
8-4-8,8-4-8,8-4-8,8-4-8,8-4-8,8-4-8
8-4-10,8-4-10,8-4-10,8-4-10,8-4-10,8-4-10
8-4-12,8-4-12,8-4-12,8-4-12,8-4-12,8-4-12
8-4-14,8-4-14,8-4-14,8-4-14,8-4-14,8-4-14
8-4-16,8-4-16,8-4-16,8-4-16,8-4-16,8-4-16
8-4-18,8-4-18,8-4-18,8-4-18,8-4-18,8-4-18
8-4-20,8-4-20,8-4-20,8-4-20,8-4-20,8-4-20
8-4-22,8-4-22,8-4-22,8-4-22,8-4-22,8-4-22
8-4-24,8-4-24,8-4-24,8-4-24,8-4-24,8-4-24
8-5-6,8-5-6,8-5-6,8-5-6,8-5-6,8-5-6
8-5-8,8-5-8,8-5-8,8-5-8,8-5-8,8-5-8
8-5-10,8-5-10,8-5-10,8-5-10,8-5-10,8-5-10
8-5-12,8-5-12,8-5-12,8-5-12,8-5-12,8-5-12
8-5-14,8-5-14,8-5-14,8-5-14,8-5-14,8-5-14
8-5-16,8-5-16,8-5-16,8-5-16,8-5-16,8-5-16
8-5-18,8-5-18,8-5-18,8-5-18,8-5-18,8-5-18
8-5-20,8-5-20,8-5-20,8-5-20,8-5-20,8-5-20
8-5-22,8-5-22,8-5-22,8-5-22,8-5-22,8-5-22
8-5-24,8-5-24,8-5-24,8-5-24,8-5-24,8-5-24
8-6-6,8-6-6,8-6-6,8-6-6,8-6-6,8-6-6
8-6-8,8-6-8,8-6-8,8-6-8,8-6-8,8-6-8
8-6-10,8-6-10,8-6-10,8-6-10,8-6-10,8-6-10
8-6-12,8-6-12,8-6-12,8-6-12,8-6-12,8-6-12
8-6-14,8-6-14,8-6-14,8-6-14,8-6-14,8-6-14
8-6-16,8-6-16,8-6-16,8-6-16,8-6-16,8-6-16
8-6-18,8-6-18,8-6-18,8-6-18,8-6-18,8-6-18
8-6-20,8-6-20,8-6-20,8-6-20,8-6-20,8-6-20
8-6-22,8-6-22,8-6-22,8-6-22,8-6-22,8-6-22
8-6-24,8-6-24,8-6-24,8-6-24,8-6-24,8-6-24
8-7-6,8-7-6,8-7-6,8-7-6,8-7-6,8-7-6
8-7-8,8-7-8,8-7-8,8-7-8,8-7-8,8-7-8
8-7-10,8-7-10,8-7-10,8-7-10,8-7-10,8-7-10
8-7-12,8-7-12,8-7-12,8-7-12,8-7-12,8-7-12
8-7-14,8-7-14,8-7-14,8-7-14,8-7-14,8-7-14
8-7-16,8-7-16,8-7-16,8-7-16,8-7-16,8-7-16
8-7-18,8-7-18,8-7-18,8-7-18,8-7-18,8-7-18
8-7-20,8-7-20,8-7-20,8-7-20,8-7-20,8-7-20
8-7-22,8-7-22,8-7-22,8-7-22,8-7-22,8-7-22
8-7-24,8-7-24,8-7-24,8-7-24,8-7-24,8-7-24
8-8-6,8-8-6,8-8-6,8-8-6,8-8-6,8-8-6
8-8-8,8-8-8,8-8-8,8-8-8,8-8-8,8-8-8
8-8-10,8-8-10,8-8-10,8-8-10,8-8-10,8-8-10
8-8-12,8-8-12,8-8-12,8-8-12,8-8-12,8-8-12
8-8-14,8-8-14,8-8-14,8-8-14,8-8-14,8-8-14
8-8-16,8-8-16,8-8-16,8-8-16,8-8-16,8-8-16
8-8-18,8-8-18,8-8-18,8-8-18,8-8-18,8-8-18
8-8-20,8-8-20,8-8-20,8-8-20,8-8-20,8-8-20
8-8-22,8-8-22,8-8-22,8-8-22,8-8-22,8-8-22
8-8-24,8-8-24,8-8-24,8-8-24,8-8-24,8-8-24
8-9-6,8-9-6,8-9-6,8-9-6,8-9-6,8-9-6
8-9-8,8-9-8,8-9-8,8-9-8,8-9-8,8-9-8
8-9-10,8-9-10,8-9-10,8-9-10,8-9-10,8-9-10
8-9-12,8-9-12,8-9-12,8-9-12,8-9-12,8-9-12
8-9-14,8-9-14,8-9-14,8-9-14,8-9-14,8-9-14
8-9-16,8-9-16,8-9-16,8-9-16,8-9-16,8-9-16
8-9-18,8-9-18,8-9-18,8-9-18,8-9-18,8-9-18
8-9-20,8-9-20,8-9-20,8-9-20,8-9-20,8-9-20
8-9-22,8-9-22,8-9-22,8-9-22,8-9-22,8-9-22
8-9-24,8-9-24,8-9-24,8-9-24,8-9-24,8-9-24
8-10-6,8-10-6,8-10-6,8-10-6,8-10-6,8-10-6
8-10-8,8-10-8,8-10-8,8-10-8,8-10-8,8-10-8
8-10-10,8-10-10,8-10-10,8-10-10,8-10-10,8-10-10
8-10-12,8-10-12,8-10-12,8-10-12,8-10-12,8-10-12
8-10-14,8-10-14,8-10-14,8-10-14,8-10-14,8-10-14
8-10-16,8-10-16,8-10-16,8-10-16,8-10-16,8-10-16
8-10-18,8-10-18,8-10-18,8-10-18,8-10-18,8-10-18
8-10-20,8-10-20,8-10-20,8-10-20,8-10-20,8-10-20
8-10-22,8-10-22,8-10-22,8-10-22,8-10-22,8-10-22
8-10-24,8-10-24,8-10-24,8-10-24,8-10-24,8-10-24
9-2-6,9-2-6,9-2-6,9-2-6,9-2-6,9-2-6
9-2-8,9-2-8,9-2-8,9-2-8,9-2-8,9-2-8
9-2-10,9-2-10,9-2-10,9-2-10,9-2-10,9-2-10
9-2-12,9-2-12,9-2-12,9-2-12,9-2-12,9-2-12
9-2-14,9-2-14,9-2-14,9-2-14,9-2-14,9-2-14
9-2-16,9-2-16,9-2-16,9-2-16,9-2-16,9-2-16
9-2-18,9-2-18,9-2-18,9-2-18,9-2-18,9-2-18
9-2-20,9-2-20,9-2-20,9-2-20,9-2-20,9-2-20
9-2-22,9-2-22,9-2-22,9-2-22,9-2-22,9-2-22
9-2-24,9-2-24,9-2-24,9-2-24,9-2-24,9-2-24
9-3-6,9-3-6,9-3-6,9-3-6,9-3-6,9-3-6
9-3-8,9-3-8,9-3-8,9-3-8,9-3-8,9-3-8
9-3-10,9-3-10,9-3-10,9-3-10,9-3-10,9-3-10
9-3-12,9-3-12,9-3-12,9-3-12,9-3-12,9-3-12
9-3-14,9-3-14,9-3-14,9-3-14,9-3-14,9-3-14
9-3-16,9-3-16,9-3-16,9-3-16,9-3-16,9-3-16
9-3-18,9-3-18,9-3-18,9-3-18,9-3-18,9-3-18
9-3-20,9-3-20,9-3-20,9-3-20,9-3-20,9-3-20
9-3-22,9-3-22,9-3-22,9-3-22,9-3-22,9-3-22
9-3-24,9-3-24,9-3-24,9-3-24,9-3-24,9-3-24
9-4-6,9-4-6,9-4-6,9-4-6,9-4-6,9-4-6
9-4-8,9-4-8,9-4-8,9-4-8,9-4-8,9-4-8
9-4-10,9-4-10,9-4-10,9-4-10,9-4-10,9-4-10
9-4-12,9-4-12,9-4-12,9-4-12,9-4-12,9-4-12
9-4-14,9-4-14,9-4-14,9-4-14,9-4-14,9-4-14
9-4-16,9-4-16,9-4-16,9-4-16,9-4-16,9-4-16
9-4-18,9-4-18,9-4-18,9-4-18,9-4-18,9-4-18
9-4-20,9-4-20,9-4-20,9-4-20,9-4-20,9-4-20
9-4-22,9-4-22,9-4-22,9-4-22,9-4-22,9-4-22
9-4-24,9-4-24,9-4-24,9-4-24,9-4-24,9-4-24
9-5-6,9-5-6,9-5-6,9-5-6,9-5-6,9-5-6
9-5-8,9-5-8,9-5-8,9-5-8,9-5-8,9-5-8
9-5-10,9-5-10,9-5-10,9-5-10,9-5-10,9-5-10
9-5-12,9-5-12,9-5-12,9-5-12,9-5-12,9-5-12
9-5-14,9-5-14,9-5-14,9-5-14,9-5-14,9-5-14
9-5-16,9-5-16,9-5-16,9-5-16,9-5-16,9-5-16
9-5-18,9-5-18,9-5-18,9-5-18,9-5-18,9-5-18
9-5-20,9-5-20,9-5-20,9-5-20,9-5-20,9-5-20
9-5-22,9-5-22,9-5-22,9-5-22,9-5-22,9-5-22
9-5-24,9-5-24,9-5-24,9-5-24,9-5-24,9-5-24
9-6-6,9-6-6,9-6-6,9-6-6,9-6-6,9-6-6
9-6-8,9-6-8,9-6-8,9-6-8,9-6-8,9-6-8
9-6-10,9-6-10,9-6-10,9-6-10,9-6-10,9-6-10
9-6-12,9-6-12,9-6-12,9-6-12,9-6-12,9-6-12
9-6-14,9-6-14,9-6-14,9-6-14,9-6-14,9-6-14
9-6-16,9-6-16,9-6-16,9-6-16,9-6-16,9-6-16
9-6-18,9-6-18,9-6-18,9-6-18,9-6-18,9-6-18
9-6-20,9-6-20,9-6-20,9-6-20,9-6-20,9-6-20
9-6-22,9-6-22,9-6-22,9-6-22,9-6-22,9-6-22
9-6-24,9-6-24,9-6-24,9-6-24,9-6-24,9-6-24
9-7-6,9-7-6,9-7-6,9-7-6,9-7-6,9-7-6
9-7-8,9-7-8,9-7-8,9-7-8,9-7-8,9-7-8
9-7-10,9-7-10,9-7-10,9-7-10,9-7-10,9-7-10
9-7-12,9-7-12,9-7-12,9-7-12,9-7-12,9-7-12
9-7-14,9-7-14,9-7-14,9-7-14,9-7-14,9-7-14
9-7-16,9-7-16,9-7-16,9-7-16,9-7-16,9-7-16
9-7-18,9-7-18,9-7-18,9-7-18,9-7-18,9-7-18
9-7-20,9-7-20,9-7-20,9-7-20,9-7-20,9-7-20
9-7-22,9-7-22,9-7-22,9-7-22,9-7-22,9-7-22
9-7-24,9-7-24,9-7-24,9-7-24,9-7-24,9-7-24
9-8-6,9-8-6,9-8-6,9-8-6,9-8-6,9-8-6
9-8-8,9-8-8,9-8-8,9-8-8,9-8-8,9-8-8
9-8-10,9-8-10,9-8-10,9-8-10,9-8-10,9-8-10
9-8-12,9-8-12,9-8-12,9-8-12,9-8-12,9-8-12
9-8-14,9-8-14,9-8-14,9-8-14,9-8-14,9-8-14
9-8-16,9-8-16,9-8-16,9-8-16,9-8-16,9-8-16
9-8-18,9-8-18,9-8-18,9-8-18,9-8-18,9-8-18
9-8-20,9-8-20,9-8-20,9-8-20,9-8-20,9-8-20
9-8-22,9-8-22,9-8-22,9-8-22,9-8-22,9-8-22
9-8-24,9-8-24,9-8-24,9-8-24,9-8-24,9-8-24
9-9-6,9-9-6,9-9-6,9-9-6,9-9-6,9-9-6
9-9-8,9-9-8,9-9-8,9-9-8,9-9-8,9-9-8
9-9-10,9-9-10,9-9-10,9-9-10,9-9-10,9-9-10
9-9-12,9-9-12,9-9-12,9-9-12,9-9-12,9-9-12
9-9-14,9-9-14,9-9-14,9-9-14,9-9-14,9-9-14
9-9-16,9-9-16,9-9-16,9-9-16,9-9-16,9-9-16
9-9-18,9-9-18,9-9-18,9-9-18,9-9-18,9-9-18
9-9-20,9-9-20,9-9-20,9-9-20,9-9-20,9-9-20
9-9-22,9-9-22,9-9-22,9-9-22,9-9-22,9-9-22
9-9-24,9-9-24,9-9-24,9-9-24,9-9-24,9-9-24
9-10-6,9-10-6,9-10-6,9-10-6,9-10-6,9-10-6
9-10-8,9-10-8,9-10-8,9-10-8,9-10-8,9-10-8
9-10-10,9-10-10,9-10-10,9-10-10,9-10-10,9-10-10
9-10-12,9-10-12,9-10-12,9-10-12,9-10-12,9-10-12
9-10-14,9-10-14,9-10-14,9-10-14,9-10-14,9-10-14
9-10-16,9-10-16,9-10-16,9-10-16,9-10-16,9-10-16
9-10-18,9-10-18,9-10-18,9-10-18,9-10-18,9-10-18
9-10-20,9-10-20,9-10-20,9-10-20,9-10-20,9-10-20
9-10-22,9-10-22,9-10-22,9-10-22,9-10-22,9-10-22
9-10-24,9-10-24,9-10-24,9-10-24,9-10-24,9-10-24
10-2-6,10-2-6,10-2-6,10-2-6,10-2-6,10-2-6
10-2-8,10-2-8,10-2-8,10-2-8,10-2-8,10-2-8
10-2-10,10-2-10,10-2-10,10-2-10,10-2-10,10-2-10
10-2-12,10-2-12,10-2-12,10-2-12,10-2-12,10-2-12
10-2-14,10-2-14,10-2-14,10-2-14,10-2-14,10-2-14
10-2-16,10-2-16,10-2-16,10-2-16,10-2-16,10-2-16
10-2-18,10-2-18,10-2-18,10-2-18,10-2-18,10-2-18
10-2-20,10-2-20,10-2-20,10-2-20,10-2-20,10-2-20
10-2-22,10-2-22,10-2-22,10-2-22,10-2-22,10-2-22
10-2-24,10-2-24,10-2-24,10-2-24,10-2-24,10-2-24
10-3-6,10-3-6,10-3-6,10-3-6,10-3-6,10-3-6
10-3-8,10-3-8,10-3-8,10-3-8,10-3-8,10-3-8
10-3-10,10-3-10,10-3-10,10-3-10,10-3-10,10-3-10
10-3-12,10-3-12,10-3-12,10-3-12,10-3-12,10-3-12
10-3-14,10-3-14,10-3-14,10-3-14,10-3-14,10-3-14
10-3-16,10-3-16,10-3-16,10-3-16,10-3-16,10-3-16
10-3-18,10-3-18,10-3-18,10-3-18,10-3-18,10-3-18
10-3-20,10-3-20,10-3-20,10-3-20,10-3-20,10-3-20
10-3-22,10-3-22,10-3-22,10-3-22,10-3-22,10-3-22
10-3-24,10-3-24,10-3-24,10-3-24,10-3-24,10-3-24
10-4-6,10-4-6,10-4-6,10-4-6,10-4-6,10-4-6
10-4-8,10-4-8,10-4-8,10-4-8,10-4-8,10-4-8
10-4-10,10-4-10,10-4-10,10-4-10,10-4-10,10-4-10
10-4-12,10-4-12,10-4-12,10-4-12,10-4-12,10-4-12
10-4-14,10-4-14,10-4-14,10-4-14,10-4-14,10-4-14
10-4-16,10-4-16,10-4-16,10-4-16,10-4-16,10-4-16
10-4-18,10-4-18,10-4-18,10-4-18,10-4-18,10-4-18
10-4-20,10-4-20,10-4-20,10-4-20,10-4-20,10-4-20
10-4-22,10-4-22,10-4-22,10-4-22,10-4-22,10-4-22
10-4-24,10-4-24,10-4-24,10-4-24,10-4-24,10-4-24
10-5-6,10-5-6,10-5-6,10-5-6,10-5-6,10-5-6
10-5-8,10-5-8,10-5-8,10-5-8,10-5-8,10-5-8
10-5-10,10-5-10,10-5-10,10-5-10,10-5-10,10-5-10
10-5-12,10-5-12,10-5-12,10-5-12,10-5-12,10-5-12
10-5-14,10-5-14,10-5-14,10-5-14,10-5-14,10-5-14
10-5-16,10-5-16,10-5-16,10-5-16,10-5-16,10-5-16
10-5-18,10-5-18,10-5-18,10-5-18,10-5-18,10-5-18
10-5-20,10-5-20,10-5-20,10-5-20,10-5-20,10-5-20
10-5-22,10-5-22,10-5-22,10-5-22,10-5-22,10-5-22
10-5-24,10-5-24,10-5-24,10-5-24,10-5-24,10-5-24
10-6-6,10-6-6,10-6-6,10-6-6,10-6-6,10-6-6
10-6-8,10-6-8,10-6-8,10-6-8,10-6-8,10-6-8
10-6-10,10-6-10,10-6-10,10-6-10,10-6-10,10-6-10
10-6-12,10-6-12,10-6-12,10-6-12,10-6-12,10-6-12
10-6-14,10-6-14,10-6-14,10-6-14,10-6-14,10-6-14
10-6-16,10-6-16,10-6-16,10-6-16,10-6-16,10-6-16
10-6-18,10-6-18,10-6-18,10-6-18,10-6-18,10-6-18
10-6-20,10-6-20,10-6-20,10-6-20,10-6-20,10-6-20
10-6-22,10-6-22,10-6-22,10-6-22,10-6-22,10-6-22
10-6-24,10-6-24,10-6-24,10-6-24,10-6-24,10-6-24
10-7-6,10-7-6,10-7-6,10-7-6,10-7-6,10-7-6
10-7-8,10-7-8,10-7-8,10-7-8,10-7-8,10-7-8
10-7-10,10-7-10,10-7-10,10-7-10,10-7-10,10-7-10
10-7-12,10-7-12,10-7-12,10-7-12,10-7-12,10-7-12
10-7-14,10-7-14,10-7-14,10-7-14,10-7-14,10-7-14
10-7-16,10-7-16,10-7-16,10-7-16,10-7-16,10-7-16
